,Name,Breed,Birth,Gender,Fur,Number,Title,Father,Mother
154,Badarene Touché,Helig birma (SBI),1981-09-15,Hane,brunmaskad (n),(AU)GCSA 4794  (SE)SVERAK LO 40458,,(AUS)CFA (N) 55960,(AU)GCSA 4781 *IMP-GB GCCF
155,Hymes Brown Jesra,Helig birma (SBI),,Hane,brunmaskad (n),(NO)NRR LO 21669,CH,(GB)GCCF NS 035840,(NO)NRR LO 21667
156,Trollehöjds Celene,Helig birma (SBI),1980-04-17,Hona,brunmaskad (n),(SE)SVERAK LO 32071,,(NO)NRR LO 21669,(SE)SVERAK LO 26321
157,Trollehöjds Cathalee,Helig birma (SBI),1981-05-17,Hona,brunmaskad (n),(SE)SVERAK LO 36216,,(SE)SVERAK LO 26301,(SE)SVERAK LO 32071
158,Trollehöjds Natanael,Helig birma (SBI),1983-03-11,Hane,brunmaskad (n),(SE)SVERAK LO 40616,IC,(SE)SVERAK LO 32877,(SE)SVERAK LO 36216
159,Heligholms Prinssessan,Helig birma (SBI),1978-05-29,Hona,brunmaskad (n),(SE)SVERAK LO 26309,,(SE)SVERAK LO 20711,(SE)SVERAK LO 22861
160,Rosenkorsborgen Foxtrot Queen,Helig birma (SBI),1982-02-18,Hona,brunmaskad (n),(SE)SVERAK LO 36832,,(SE)SVERAK LO 24283,(SE)SVERAK LO 22755
161,Heffners Herbert,Helig birma (SBI),1982-04-01,Hane,brunmaskad (n),(SE)SVERAK LO 40007,,(SE)SVERAK LO 26354,(SE)SVERAK LO 26309
162,Aramis,Helig birma (SBI),1983-06-09,Hane,brunmaskad (n),(SE)SVERAK LO 40657,,(SE)SVERAK LO 40007,(SE)SVERAK LO 36832
163,Rallarrosen's Blue Chips,Helig birma (SBI),1983-07-12,Hona,blåmaskad (a),(SE)SVERAK LO 40715,,(SE)SVERAK LO 26354,(SE)SVERAK LO 22861
164,"PR
    Miorama Blue Star",Helig birma (SBI),1978-07-25,Hane,blåmaskad (a),(GB)GCCF NS 111793  (SE)SVERAK LO 28524,,(GB)GCCF NS 013169,(GB)GCCF NS 091452
165,Hassellidens Ninou,Helig birma (SBI),1976-08-17,Hona,blåmaskad (a),(SE)SVERAK LO 22659,,(SE)SVERAK LO 20936,(SE)SVERAK LO 18480
166,Hassellidens Blue Leqita,Helig birma (SBI),1979-09-01,Hona,blåmaskad (a),(SE)SVERAK LO 30020,,(SE)SVERAK LO 28524,(SE)SVERAK LO 22659
167,Biancas Leonora,Helig birma (SBI),1978-06-17,Hona,brunmaskad (n),(SE)SVERAK LO 24974 B,,(SE)SVERAK LO 20711,(SE)SVERAK LO 24001
168,Sinh Qaiyi af Silverbäcken,Helig birma (SBI),1977-03-14,Hona,brunmaskad (n),(SE)SVERAK LO 24001,,(SE)SVERAK LO 12311,(SE)SVERAK LO 16126
169,Hammardalens Elena,Helig birma (SBI),1982-02-25,Hona,brunmaskad (n),(SE)SVERAK LO 36852,,(SE)SVERAK LO 32877,(SE)SVERAK LO 30020
170,Silverlidens Snökristallen,Helig birma (SBI),1981-04-06,Hane,blåmaskad (a),(SE)SVERAK LO 36020,,(SE)SVERAK LO 32045,(SE)SVERAK LO 24974 B
171,Amic,Helig birma (SBI),1983-07-24,Hona,blåmaskad (a),(SE)SVERAK LO 40774,IC,(SE)SVERAK LO 36020,(SE)SVERAK LO 36852
172,Paranjoti Kuomintang,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 152946,,(GB)GCCF OS 140035,(GB)GCCF OS 140034
173,Arbaybi Kari Camilla,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 014643,CH,(GB)GCCF OS 152530*IMP-F,(GB)GCCF OS 244239
174,Rojodanco Arbaybi,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF OS 256529,,(GB)GCCF OS 208747 *IMP-D,(GB)GCCF OS 189962
175,Cragland Jeanette,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 244239,,(GB)GCCF OS 186204 *IMP,(GB)GCCF OS 208740
176,Chenorine Jonnandra,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 189962,,(GB)GCCF OS 152530*IMP-F,(GB)GCCF OS 152946
177,Menelik Arbaybi Adonis,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 094719,,(GB)GCCF NS 012803,(GB)GCCF NS 014643
178,Arbaybi Kwanela,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 019210,,(GB)GCCF OS 256529,(GB)GCCF OS 244239
179,Arbaybi Prima Donna,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 159202,,(GB)GCCF NS 094719,(GB)GCCF NS 019210
180,Arbaybi Bashful Beau,Helig birma (SBI),1982-09-25,Hane,blåmaskad (a),(GB)GCCF NS 211435  (SE)SVERAK LO 40906,"EP,,,EC",(GB)GCCF OS 256529,(GB)GCCF NS 159202
181,Hassellidens Blue Lady,Helig birma (SBI),1979-09-01,Hona,blåmaskad (a),(SE)SVERAK LO 30022,,(SE)SVERAK LO 28524,(SE)SVERAK LO 22659
182,Trollehöjds Gilda,Helig birma (SBI),1982-02-21,Hona,brunmaskad (n),(SE)SVERAK LO 36904,,(SE)SVERAK LO 32877,(SE)SVERAK LO 30022
183,Trollehöjds Pontus,Helig birma (SBI),1983-08-16,Hane,brunmaskad (n),(SE)SVERAK LO 50019,,(SE)SVERAK LO 32877,(SE)SVERAK LO 36904
184,Hassellidens Vanessa,Helig birma (SBI),1980-10-13,Hona,brunmaskad (n),(SE)SVERAK LO 34103,,(SE)SVERAK LO 24024,(SE)SVERAK LO 16538
185,Gamleby's Bébé,Helig birma (SBI),1984-03-12,Hona,brunmaskad (n),(SE)SVERAK LO 50140,GIC,(SE)SVERAK LO 40458,(SE)SVERAK LO 34103
186,Nya's Max Factor,Helig birma (SBI),,Hane,brunmaskad (n),(NO)NRR LO 22284,GIC,(NO)NRR LO 22125 *IMP-GB,(NO)NRR LO 22126 *IMP-GCCF
187,Boltwood Delysia,Helig birma (SBI),,Hona,brunmaskad (n),(NO)NRR LO 22126 *IMP-GCCF,IC,(GB)GCCF OS 241706,(GB)GCCF NS 012841
188,IDP*Birminas Stubben,Helig birma (SBI),1979-04-29,Hane,blåmaskad (a),(SE)FBK 5.75E-14  (SE)SVERAK LO 30279,IC,(SE)SVERAK LO 24024,(SE)SNRF B 813
189,Gimle Beyla,Helig birma (SBI),,Hona,brunmaskad (n),(NO)NRR LO 22231,,(NO)NRR LO 22125 *IMP-GB,(NO)NRR LO 21592
190,Nya's Ma-Tjong,Helig birma (SBI),,Hane,brunmaskad (n),(NO)NRR LO 60062,IC,(NO)NRR LO 22284,(NO)NRR LO 22126 *IMP-GCCF
191,Beylas Chiali,Helig birma (SBI),,Hona,brunmaskad (n),(NO)NRR LO 60093,,(SE)SVERAK LO 30279,(NO)NRR LO 22231
192,Jumaliso's Chang,Helig birma (SBI),1982-12-12,Hane,brunmaskad (n),(NO)NRR LO 60136  (SE)SVERAK LO 40646,,(NO)NRR LO 60062,(NO)NRR LO 60093
193,Brigitte,Helig birma (SBI),1983-04-19,Hona,blåmaskad (a),(SE)SVERAK LO 40581,,(SE)SVERAK LO 40458,(SE)SVERAK LO 34184
194,Eldholmen's Chitamo,Helig birma (SBI),1984-06-12,Hane,brunmaskad (n),(SE)SVERAK LO 50303,IC,(SE)SVERAK LO 40646,(SE)SVERAK LO 40581
195,Hassellidens Yasmine,Helig birma (SBI),1981-02-21,Hona,brunmaskad (n),(SE)SVERAK LO 34186,,(SE)SVERAK LO 24024,(SE)SVERAK LO 24389
196,Yatzie,Helig birma (SBI),1982-11-10,Hona,brunmaskad (n),(SE)SVERAK LO 40280,,(SE)SVERAK LO 30636,(SE)SVERAK LO 34186
197,Melizza,Helig birma (SBI),1984-09-15,Hona,brunmaskad (n),(SE)SVERAK LO 50436,,(SE)SVERAK LO 40458,(SE)SVERAK LO 40280
198,Sinh Xenia af Silverbäcken,Helig birma (SBI),1977-08-14,Hona,brunmaskad (n),(SE)SVERAK LO 24803,,(SE)SVERAK LO 18214,(SE)SVERAK LO 20297
199,Cheapthrills Camdi,Helig birma (SBI),1978-10-05,Hona,brunmaskad (n),(SE)SVERAK LO 26363,,(SE)SVERAK LO 18790,(SE)SVERAK LO 20786
200,Rosenkorsborgen Blue Queen,Helig birma (SBI),1978-09-23,Hona,blåmaskad (a),(SE)SVERAK LO 26353,IC,(SE)SVERAK LO 20711,(SE)SVERAK LO 22755
201,Shai-San-War's Kamé,Helig birma (SBI),1982-04-09,Hona,blåmaskad (a),(SE)SVERAK LO 36976,,(SE)SVERAK LO 24832,(SE)SVERAK LO 24803
202,Cheapthrills Kim-Ling,Helig birma (SBI),1980-07-27,Hane,brunmaskad (n),(SE)SVERAK LO 32486,CH,(SE)SVERAK LO 24283,(SE)SVERAK LO 26363
203,Rosenkorsborgen Amorc Prinzess,Helig birma (SBI),1981-10-26,Hona,blåmaskad (a),(SE)SVERAK LO 36698,,(SE)SVERAK LO 26354,(SE)SVERAK LO 26353
204,Ares,Helig birma (SBI),1984-01-24,Hane,blåmaskad (a),(SE)SVERAK LO 50047,,(SE)SVERAK LO 18790,(SE)SVERAK LO 36976
205,Fata Morgana Antigone,Helig birma (SBI),1983-02-23,Hona,brunmaskad (n),(SE)SVERAK LO 40416,,(SE)SVERAK LO 32486,(SE)SVERAK LO 36698
206,Fata Morgana Anti Iljido,Helig birma (SBI),1985-02-13,Hane,blåmaskad (a),(SE)SVERAK LO 50639,EC,(SE)SVERAK LO 50047,(SE)SVERAK LO 40416
207,Änghagens Beata,Helig birma (SBI),1982-03-04,Hona,brunmaskad (n),(SE)SVERAK LO 36917,,(SE)SVERAK LO 24020,(SE)SVERAK LO 30262
208,Wärms Filippa,Helig birma (SBI),1985-03-15,Hona,blåmaskad (a),(SE)SVERAK LO 50746,,(SE)SVERAK LO 40233,(SE)SVERAK LO 36917
209,Cado Eyecatcher,Helig birma (SBI),,Hane,brunmaskad (n),(NO)NRR LO 22125 *IMP-GB,IC,(GB)GCCF OS 266625,(GB)GCCF NS 029429
210,Missie-San av Drotten,Helig birma (SBI),1977-03-25,Hona,brunmaskad (n),(SE)SVERAK LO 22979,IC,(SE)SVERAK LO 16617,(SE)SVERAK LO 16490
211,Ami-San av Drotten,Helig birma (SBI),1983-05-15,Hona,brunmaskad (n),(SE)SVERAK LO 40955,,(NO)NRR LO 22284,(SE)SVERAK LO 22979
212,Muntaz Mahal's Blue Kissipuzz,Helig birma (SBI),1985-08-19,Hona,blåmaskad (a),(SE)SVERAK LO 55055,IC,(SE)SVERAK LO 30636,(SE)SVERAK LO 40955
213,S*Agapanthus Effet,Helig birma (SBI),1985-05-28,Hane,brunmaskad (n),(SE)SVERAK LO 55118,,(SE)SVERAK LO 40458,(SE)SVERAK LO 34184
214,Hassellidens Quito,Helig birma (SBI),1980-03-23,Hane,brunmaskad (n),(SE)SVERAK LO 30638,CH,(SE)SVERAK LO 18214,(SE)SVERAK LO 26302
215,Hassellidens Evita,Helig birma (SBI),1978-09-26,Hona,brunmaskad (n),(SE)SVERAK LO 26330,,(SE)SVERAK LO 24024,(SE)SVERAK LO 16538
216,Sofiakällans Dorinda,Helig birma (SBI),1983-03-17,Hona,brunmaskad (n),(SE)SVERAK LO 40472,,(SE)SVERAK LO 30638,(SE)SVERAK LO 26330
217,S*Blidingias Blå Bagera,Helig birma (SBI),1985-06-16,Hona,blåmaskad (a),(SE)SVERAK LO 55193,,(SE)SVERAK LO 40458,(SE)SVERAK LO 40472
218,Gremlin's Sir Winston,Helig birma (SBI),,Hane,blåmaskad (a),(US)CFA 0186-000059 V109,,(US)CFA 0186-000039 V106,(US)CFA 0183-000081 V105
219,Bybee's Zaharah,Helig birma (SBI),,Hona,blåmaskad (a),(US)CFA 0187-000132 V109,,(US)CFA 0186-000061 V108,(US)CFA 0187-000010 V104
220,Purple Heather's Fantastic Boy,Helig birma (SBI),,Hane,brunmaskad (n),(US)CFA 0182-000463 V0883,,(US)CFA 0182-00226 V109,(US)CFA 0183-000229 V109
221,Purple Heather's Sweet Betty Lou,Helig birma (SBI),,Hona,brunmaskad (n),(US)ACFA BIOS-F77-455-3  (US)CFA 0183-169518,,(US)CFA 0182-00226 V109,(US)ACFA BIO2-F76-1677-2
222,Minette,Helig birma (SBI),,Hona,brunmaskad (n),(US)CFA 0183-000433 V111,,(US)CFA 0182-00226 V109,(US)CFA 0183-000229 V109
223,Cheapthrills Aristo,Helig birma (SBI),1978-01-21,Hane,brunmaskad (n),(SE)SVERAK LO 24843  (US)CFA 0182-000360 V111,,(SE)SVERAK LO 18790,(SE)SVERAK LO 20786
224,Casa de Amor's Alberta Bouquet,Helig birma (SBI),,Hona,blåmaskad (a),(US)CFA 0187-000187 V1282,,(US)CFA 0186-000059 V109,(US)CFA 0187-000132 V109
225,Purple Heather's Prince Kokie,Helig birma (SBI),,Hane,brunmaskad (n),(US)CFA 0182-165707 V0983,,(US)CFA 0182-000463 V0883,(US)CFA 0183-169518
226,Casa de Amor's Arctic Doll,Helig birma (SBI),,Hona,brunmaskad (n),(US)CFA 0183-000467 V111,,(US)CFA 0186-000059 V109,(US)CFA 0183-000433 V111
227,Casa de Amor's Sir Ivanhoe,Helig birma (SBI),,Hane,brunmaskad (n),(US)CFA 0182-140055 V1183,,(US)CFA 0182-000360 V111,(US)CFA 0187-000187 V1282
228,Casa de Amor's Northern Fantasia,Helig birma (SBI),,Hona,brunmaskad (n),(US)CFA 0183-172100 V0184,,(US)CFA 0182-165707 V0983,(US)CFA 0183-000467 V111
229,Casa de Amor's Fred Astair,Helig birma (SBI),1983-10-29,Hane,blåmaskad (a),(SE)SVERAK LO 55250  (US)CFA 0186-204947,,(US)CFA 0182-140055 V1183,(US)CFA 0183-172100 V0184
230,Juveniles Belinda,Helig birma (SBI),1978-12-13,Hona,brunmaskad (n),(SE)SVERAK LO 28007,,(SE)SVERAK LO 24020,(SE)SVERAK LO 20059
231,Juveniles Mi Lena,Helig birma (SBI),1981-06-19,Hona,brunmaskad (n),(SE)SVERAK LO 36263,,(SE)SVERAK LO 32045,(SE)SVERAK LO 28007
232,Juveniles Emir,Helig birma (SBI),1986-01-08,Hane,brunmaskad (n),(SE)SVERAK LO 55369,IC,(SE)SVERAK LO 24020,(SE)SVERAK LO 36263
233,Rallarrosen's Domeniqe,Helig birma (SBI),1984-06-06,Hona,blåmaskad (a),(SE)SVERAK LO 50259,,(SE)SVERAK LO 26354,(SE)SVERAK LO 22861
234,S*Lyckobringaren's Sinh Delailah,Helig birma (SBI),1986-01-06,Hona,blåmaskad (a),(SE)SVERAK LO 55449,CH,(SE)SVERAK LO 32045,(SE)SVERAK LO 50259
235,Klosterkattens Fuji-San,Helig birma (SBI),1986-01-09,Hane,blåmaskad (a),(SE)SVERAK LO 55456,IC,(SE)SVERAK LO 40906,(SE)SVERAK LO 34505
236,Cheapthrills Blue Platina,Helig birma (SBI),1976-08-15,Hona,blåmaskad (a),(SE)SVERAK LO 22704,,(SE)SVERAK LO 20711,(SE)SVERAK LO 20710
237,Sambos Petite Babiole,Helig birma (SBI),1982-09-02,Hona,blåmaskad (a),(SE)SVERAK LO 40172,IC,(SE)SVERAK LO 30636,(SE)SVERAK LO 22704
238,Sambos Bambocheur,Helig birma (SBI),1986-01-17,Hane,brunmaskad (n),(SE)SVERAK LO 55489,IP,(SE)SVERAK LO 32877,(SE)SVERAK LO 40172
239,Beatrix,Helig birma (SBI),1984-01-18,Hona,brunmaskad (n),(SE)SVERAK LO 50043,,(SE)SVERAK LO 30638,(SE)SVERAK LO 16538
240,Hassellidens Ying,Helig birma (SBI),1986-05-04,Hona,brunmaskad (n),(SE)SVERAK LO 55805,,(SE)SVERAK LO 40458,(SE)SVERAK LO 50043
241,Cragland Shan,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF OS 244237,CH,(GB)GCCF OS 186204 *IMP,(GB)GCCF OS 208740
242,Sahra Mischa,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 239202,,(GB)GCCF OS 188501,(GB)GCCF OS 214997
243,Lynjuka Quintiero,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 144351,,(GB)GCCF NS 106497,(GB)GCCF NS 095824
244,Boltwood Kathakali,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 094221,,(GB)GCCF OS 241706,(GB)GCCF NS 012841
245,Sahra Micholo,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 035840,,(GB)GCCF OS 244237,(GB)GCCF OS 239202
246,Bingmah Bibesko,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 192437,,(GB)GCCF NS 144351,(GB)GCCF NS 094221
247,Bingmah Fahrena,Helig birma (SBI),1984-05-15,Hona,brunmaskad (n),(GB)GCCF NS 260211  (SE)SVERAK LO 55818,,(GB)GCCF NS 035840,(GB)GCCF NS 192437
248,Cheapthrills Zebulon,Helig birma (SBI),1986-03-23,Hane,brunmaskad (n),(SE)SVERAK LO 55820,,(SE)SVERAK LO 55250,(SE)SVERAK LO 55818
249,Chouchou Mystique,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF OS 266625,CH,(GB)GCCF OS 208747 *IMP-D,(GB)GCCF OS 239203
250,Miorama Petite Fleur,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 012843,,(GB)GCCF OS 244412,(GB)GCCF OS 220933
251,Monsieur Tiberius,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 092834,,(GB)GCCF NS 024383,(GB)GCCF NS 033760
252,Belleview Elena,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 117735,,(GB)GCCF NS 091899,(GB)GCCF NS 108983
253,Patrioona Freya,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 024384,,(GB)GCCF OS 245420,(GB)GCCF OS 245647
254,Attimore Tanglepaws Tor,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 055329,,(GB)GCCF OS 266625,(GB)GCCF NS 012843
255,Vanbelma Phersephoni,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 182208,,(GB)GCCF NS 092834,(GB)GCCF NS 117735
256,Patrioona Delphine,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 034292,,(GB)GCCF OS 244237,(GB)GCCF NS 024384
257,Vanbelma Valaricki,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 228358,,(GB)GCCF NS 055329,(GB)GCCF NS 182208
258,Smokeyhill Mit Sue,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 108983,,(GB)GCCF OS 208747 *IMP-D,(GB)GCCF NS 034292
259,Belleview Blue Romeo,Helig birma (SBI),1985-04-27,Hane,blåmaskad (a),(GB)GCCF NS 296092  (SE)SVERAK LO 55821,,(GB)GCCF NS 228358,(GB)GCCF NS 108983
260,Amici's Afrodite,Helig birma (SBI),1982-02-20,Hona,blåmaskad (a),(SE)SVERAK LO 36824,,(SE)SVERAK LO 26354,(SE)SVERAK LO 32477
261,Ambrosia,Helig birma (SBI),1983-04-23,Hona,blåmaskad (a),(SE)SVERAK LO 40554,,(SE)SVERAK LO 24832,(SE)SVERAK LO 36824
262,Chanel,Helig birma (SBI),1984-05-29,Hona,brunmaskad (n),(SE)SVERAK LO 50208,,(SE)SVERAK LO 24283,(SE)SVERAK LO 40554
263,Viklandets Henriette,Helig birma (SBI),1986-05-09,Hona,blåmaskad (a),(SE)SVERAK LO 55831,,(SE)SVERAK LO 36020,(SE)SVERAK LO 50208
264,Chanson Dematin,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 091899,,(GB)GCCF NS 024383,(GB)GCCF NS 035451
265,Moonrae Mirabelle,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 035451,,(GB)GCCF OS 266625,(GB)GCCF NS 24503
266,Hilken Red Hercules,Helig birma (SBI),,Hane,rödtabbymaskad (d 21),(GB)GCCF EX 154198,,(GB)GCCF NS 091899,(GB)GCCF NS 048600 SR
267,Hilken Red Progress,Helig birma (SBI),,Hona,brunsköldpaddmaskad (f),(GB)GCCF EX 154095,,(GB)GCCF NS 091899,(GB)GCCF EX 063812
268,Hilken Red Goliath,Helig birma (SBI),,Hane,rödtabbymaskad (d 21),(GB)GCCF EX 154411,,(GB)GCCF EX 154198,(GB)GCCF EX 154095
269,Hilken Cream Debutante,Helig birma (SBI),1984-10-29,Hona,rödtabbymaskad (d 21),(GB)GCCF EX 154730  (SE)SVERAK RX 55873,,(GB)GCCF EX 154411,(GB)GCCF EX 154095
270,S*Sjöviken's Danny,Helig birma (SBI),1986-07-07,Hane,brunmaskad (n),(SE)SVERAK LO 56083,,(SE)SVERAK LO 32877,(SE)SVERAK LO 36295
271,Clarelin Tusita,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 106497,,(GB)GCCF OS 255915,(GB)GCCF NS 033319
272,Shwechinthe Cabora,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF EX 063552,,(GB)GCCF EX 062818,(GB)GCCF NS 048098 SR
273,Shwechinthe Topaz,Helig birma (SBI),,Hane,chokladmaskad (b),(GB)GCCF EX 065502,,(GB)GCCF EX 062818,(GB)GCCF NS 048098 SR
274,Shwechinthe Dizzy Doll,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 048503 SR,,(GB)GCCF NS 095642,(GB)GCCF EX 063552
275,Shwechinthe Deolali,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF EX 154026,,(GB)GCCF NS 094085,(GB)GCCF EX 065758
276,Ambur Blue Thongwa,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF OS 241784,,(GB)GCCF OS 231433,(GB)GCCF OS 189060
277,Patrioona Oberon,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 095642,,(GB)GCCF NS 054046,(GB)GCCF NS 033156
278,Shwechinthe Dervish,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF EX 154021,,(GB)GCCF NS 106497,(GB)GCCF EX 063552
279,Shwechinthe Esther,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF EX 154322,,(GB)GCCF EX 065502,(GB)GCCF NS 048503 SR
280,Shwechinthe Chindit,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 224668,,(GB)GCCF EX 154026,(GB)GCCF OS 241784
281,Shwechinthe Ferdinand,Helig birma (SBI),,Hane,chokladmaskad (b),(GB)GCCF EX 154462,,(GB)GCCF EX 154021,(GB)GCCF EX 154322
282,Shwechinthe Emma,Helig birma (SBI),,Hona,chokladmaskad (b),(GB)GCCF EX 154464,,(GB)GCCF NS 224668,(GB)GCCF NS 048503 SR
283,Rocheros Amour,Helig birma (SBI),1984-09-08,Hona,chokladmaskad (b),(GB)GCCF EX 154679  (SE)SVERAK LO 56093,,(GB)GCCF EX 154462,(GB)GCCF EX 154464
284,Trollehöjds Bailey,Helig birma (SBI),1986-03-31,Hane,brunmaskad (n),(SE)SVERAK LO 56095,GIC,(SE)SVERAK LO 32045,(SE)SVERAK LO 56093
285,Hilken Red Peril,EJ GODKÄND LÅNGHÅR (XLH),,Hona,svartsköldpaddtabby-vit (f 09 22 (SBI)),(GB)GCCF NS 048600 SR,,(GB)GCCF NS 48342 SR,(GB)GCCF NS 094884
286,Hilken Red Poppy,EJ GODKÄND KORTHÅR (XSH),,Hona,brunsköldpaddmaskad (f 33 (SBI)),(GB)GCCF EX 063812,,(GB)GCCF NS 091899,(GB)GCCF EX 061787
287,Red Dawn,EJ GODKÄND KORTHÅR (XSH),,Hona,rödtabby-vit (d 09 22 (SBI)),(GB)GCCF EX 061787,,,
288,S*Lyckobringaren's Fe-Ra-Ri,Helig birma (SBI),1986-08-09,Hane,blåmaskad (a),(SE)SVERAK LO 56136,,(SE)SVERAK LO 32045,(SE)SVERAK LO 50259
289,Fjordkattens Blå Optimus,Helig birma (SBI),1980-11-09,Hane,blåmaskad (a),(SE)SVERAK LO 34116,,(SE)SVERAK LO 26354,(SE)SVERAK LO 18722
290,Tomtebergets Isabella,Helig birma (SBI),1982-11-10,Hona,brunmaskad (n),(SE)SVERAK LO 40330,,(SE)SVERAK LO 30638,(SE)SVERAK LO 16538
291,Tomtebergets Sabina,Helig birma (SBI),1984-04-17,Hona,brunmaskad (n),(SE)SVERAK LO 50284,,(SE)SVERAK LO 34116,(SE)SVERAK LO 40330
292,S*Chaldonnay's Aurore,Helig birma (SBI),1986-07-07,Hona,brunmaskad (n),(SE)SVERAK LO 56181,,(SE)SVERAK LO 40458,(SE)SVERAK LO 50284
293,Hassellidens Pi,Helig birma (SBI),1980-02-14,Hona,brunmaskad (n),(SE)SVERAK LO 30601,,(SE)SVERAK LO 24024,(SE)SVERAK LO 24389
294,Penelope,Helig birma (SBI),1981-12-01,Hona,brunmaskad (n),(SE)SVERAK LO 36756,,(SE)SVERAK LO 24024,(SE)SVERAK LO 30601
295,Asteroidernes Artemis,Helig birma (SBI),1983-10-26,Hona,brunmaskad (n),(SE)SVERAK LO 40944,,(SE)SVERAK LO 40458,(SE)SVERAK LO 36756
296,S*Summerdays Claudius,Helig birma (SBI),1986-07-25,Hane,brunmaskad (n),(SE)SVERAK LO 56184,"EP,,,EC",(SE)SVERAK LO 50019,(SE)SVERAK LO 40944
297,Söderängens Afrodite,Helig birma (SBI),1979-11-13,Hona,brunmaskad (n),(SE)SVERAK LO 30266,,(SE)SVERAK LO 24283,(SE)SVERAK LO 24819
298,Fairy Queen's Cindy,Helig birma (SBI),1980-08-18,Hona,brunmaskad (n),(SE)SVERAK LO 32477,,(SE)SVERAK LO 24987 B,(SE)SVERAK LO 28093 A
299,Cappella,Helig birma (SBI),1982-11-01,Hona,brunmaskad (n),(SE)SVERAK LO 40242,,(SE)SVERAK LO 26354,(SE)SVERAK LO 30266
300,Viklandets Danny,Helig birma (SBI),1985-03-20,Hane,brunmaskad (n),(SE)SVERAK LO 50787,EC,(SE)SVERAK LO 36020,(SE)SVERAK LO 40242
301,Desdemona,Helig birma (SBI),1985-07-19,Hona,blåmaskad (a),(SE)SVERAK LO 50951,,(SE)SVERAK LO 34518,(SE)SVERAK LO 36824
302,S*Ben Guns Conti,Helig birma (SBI),1986-09-14,Hane,blåmaskad (a),(SE)SVERAK LO 56273,IC,(SE)SVERAK LO 50787,(SE)SVERAK LO 50951
303,Dearing Boy Sioux,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF OS 244412,,(GB)GCCF OS 186204 *IMP,(GB)GCCF OS 200749
304,Jyaira Cybele,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 135338,,(GB)GCCF NS 015534,(GB)GCCF OS 261894
305,Sayella Belinda,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 172471,CH,(GB)GCCF NS 075182,(GB)GCCF NS 093754
306,Laurant Coeur Delyon,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 258221,,(GB)GCCF OS 244412,(GB)GCCF NS 135338
307,Satinsox Bubbles,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF NS 171657,,(GB)GCCF NS 055329,(GB)GCCF NS 135338
308,Panjandrum Brocade,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF NS 226159,,(GB)GCCF NS 055329,(GB)GCCF NS 172471
309,Laurant Kubla Khan,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF NS 294567,,(GB)GCCF NS 258221,(GB)GCCF NS 171657
